Product_SKU,Customer_ID,Country,Quarter,Sales_Rep_ID,Units_Sold,Price_Per_Unit,Sales_Cycle_Length,Product_Category,Contract_Type,Customer_Tier,Previous_Quarter_Units,Discount_Percentage,Competitive_Situation,Region,Total_Revenue,Previous_Quarter_Revenue,Revenue_Growth_Rate,Effective_Price,Conversion_Proxy,Reliability_Score,Market_Access_Score,Market_Share_Pct,Competitor_Price_Avg,Market_Size_MM,Win_Rate_Pct,Customer_Satisfaction,Clinical_Outcome_Score,Reimbursement_Coverage_Pct,Growth_Rate_Pct,Competitive_Intensity,Number_Of_Competitors,New_Market_Entrants,Brand_Perception_Score,Value_Proposition_Rating,Marketing_Spend,Trade_Show_Presence,Avg_Reimbursement_Amount,Denial_Rate_Pct,Training_Time_Hours,Adverse_Events,Product_Age_Months,Warranty_Claims,NPS_Score,Average_Case_Duration,Physician_Preference_Rating
Ponseti-201,CUST001,Germany,20254,SR001,22,234.37,153,Splint,Open,C,10.0,12.03,Highly Competitive,Europe,4535.86,3397.19,0.3352,206.17528900000000,0.006535947712418300,80,70,5.41,220.3078,26.1,72.0,61.2,75.0,92.1,9.36,8.5,5,Yes,84.3,86.9,21988.0,High,857.75,19.15,6.1,1,25,4,56.4,44.2,99.7
AFO-101,CUST002,India,20251,SR003,36,442.91,160,Orthosis,Volume-Based,A,,2.9,Oligopoly,Asia,15482.36,,,430.06561,0.00625,80,70,24.4,487.2010000000000,31.3,61.5,73.7,91.2,92.7,5.53,9.5,8,No,71.3,85.1,21560.0,Low,822.92,16.45,17.8,1,8,2,99.3,35.3,72.7
AFO-101,CUST002,Brazil,20254,SR003,8,637.58,70,Splint,Volume-Based,C,36.0,2.88,Highly Competitive,LATAM,4953.74,15482.36,-0.68,619.217696,0.014285714285714300,80,70,21.65,694.9622,183.2,62.3,84.4,86.1,99.2,9.96,8.8,5,No,80.0,61.4,41984.0,High,912.0,13.23,2.0,0,55,0,77.1,39.3,95.2
AFO-101,CUST002,Brazil,20254,SR003,12,663.92,140,Splint,Fixed,B,8.0,28.98,Oligopoly,LATAM,5658.19,4953.74,0.1422,471.51598400000000,0.007142857142857140,80,70,9.25,604.1672,45.1,64.1,66.8,89.1,80.1,5.36,5.3,5,Yes,93.5,88.4,21102.0,High,942.51,3.26,18.9,2,14,3,51.7,67.1,75.9
AFO-102,CUST002,USA,20251,SR001,9,686.07,123,Brace,Fixed,C,,4.32,Highly Competitive,North America,5907.89,,,656.431776,0.008130081300813010,80,70,8.64,713.5128000000000,115.8,74.9,82.5,75.9,78.2,6.86,4.0,1,No,70.5,63.9,43275.0,High,390.5,14.69,11.7,1,43,0,38.9,45.9,69.8
FAO-301,CUST002,Brazil,20253,SR003,3,474.26,149,Orthosis,Fixed,B,,18.49,Highly Competitive,LATAM,1159.71,,,386.569326,0.006711409395973150,80,70,8.67,516.9434,94.0,63.4,69.1,76.4,90.1,2.84,2.4,6,No,94.7,61.0,13821.0,High,539.09,14.54,13.5,2,31,4,59.3,25.6,69.0
FAO-302,CUST002,Germany,20251,SR004,40,746.88,177,Orthosis,Fixed,C,,5.55,Highly Competitive,Europe,28217.13,,,705.42816,0.005649717514124290,80,70,11.08,702.0672,82.5,79.3,91.0,71.2,65.3,5.63,4.6,4,Yes,82.1,72.4,14450.0,Medium,211.7,8.5,8.0,2,24,2,51.6,29.7,94.0
FAO-302,CUST002,France,20252,SR002,29,710.84,76,Orthosis,Open,A,40.0,20.66,Oligopoly,Europe,16355.43,28217.13,-0.4204,563.980456,0.013157894736842100,80,70,15.5,717.9484,182.0,66.2,91.3,79.7,81.9,3.91,4.3,3,Yes,68.5,65.8,46053.0,Medium,903.46,18.5,15.9,1,16,0,99.4,46.1,72.4
FAO-302,CUST002,France,20252,SR004,12,345.14,36,Orthosis,Open,A,29.0,11.2,Highly Competitive,Europe,3677.81,16355.43,-0.7751,306.48432000000000,0.027777777777777800,80,70,13.64,372.7512,23.9,52.7,70.4,86.8,81.8,8.68,6.0,6,Yes,75.3,65.5,31632.0,Medium,323.66,3.34,4.2,0,20,1,49.0,84.7,73.5
FAO-302,CUST002,USA,20254,SR001,26,409.98,43,Brace,Volume-Based,C,12.0,22.02,Monopoly,North America,8312.26,3677.81,1.2601,319.70240400000000,0.023255813953488400,80,70,10.82,373.08180000000000,139.5,81.4,68.0,95.7,63.6,8.27,7.0,2,Yes,85.9,68.6,38753.0,Low,889.18,5.35,1.9,2,38,4,83.6,46.5,67.9
Ponseti-201,CUST002,France,20254,SR003,33,619.61,95,Splint,Open,B,,25.18,Highly Competitive,Europe,15298.54,,,463.592202,0.010526315789473700,80,70,17.24,644.3944,193.4,61.4,74.4,90.0,76.7,8.59,9.8,8,Yes,75.6,67.5,19012.0,Low,463.51,1.26,8.5,1,47,1,81.4,24.2,98.5
Ponseti-201,CUST002,USA,20254,SR001,44,462.05,144,Brace,Volume-Based,C,33.0,1.69,Monopoly,North America,19986.62,15298.54,0.3064,454.241355,0.006944444444444440,80,70,7.79,443.568,120.8,67.3,68.4,83.1,94.1,7.79,7.6,1,Yes,62.4,80.5,16651.0,Low,494.51,15.91,17.2,2,15,0,7.1,49.3,69.8
AFO-101,CUST003,Brazil,20253,SR002,39,653.99,163,Brace,Volume-Based,C,,3.14,Oligopoly,LATAM,24704.73,,,633.454714,0.006134969325153370,80,70,10.84,706.3092,188.6,77.4,83.5,98.6,94.2,8.66,6.8,9,No,65.9,65.6,43398.0,Medium,231.31,12.44,15.3,2,14,0,8.7,66.8,69.9
AFO-102,CUST003,USA,20251,SR001,9,245.88,94,Orthosis,Open,A,,7.17,Oligopoly,North America,2054.25,,,228.250404,0.010638297872340400,80,70,12.33,268.0092,29.4,63.3,88.9,91.6,64.0,3.61,4.0,8,No,87.7,76.3,24345.0,High,461.5,6.3,10.8,2,53,0,66.0,61.6,97.8
AFO-102,CUST003,Brazil,20251,SR003,38,297.66,28,Orthosis,Volume-Based,B,9.0,13.4,Highly Competitive,LATAM,9795.4,2054.25,3.7684,257.77356000000000,0.03571428571428570,80,70,14.12,324.4494,95.4,52.3,83.6,97.9,63.6,5.62,1.3,1,No,82.7,89.6,28201.0,Medium,910.69,3.28,11.9,1,12,3,25.9,39.5,96.0
FAO-301,CUST003,Brazil,20251,SR002,13,560.4,147,Splint,Fixed,B,,16.71,Highly Competitive,LATAM,6067.84,,,466.75716000000000,0.006802721088435370,80,70,20.7,554.7960000000000,66.8,65.0,88.9,85.8,70.5,7.53,3.6,9,Yes,79.9,73.0,11119.0,Low,220.44,0.8,3.5,2,34,4,65.8,68.2,70.0
FAO-301,CUST003,India,20254,SR002,36,339.99,137,Orthosis,Volume-Based,B,13.0,20.2,Highly Competitive,Asia,9767.23,6067.84,0.6097,271.31202,0.0072992700729927000,80,70,8.99,363.7893,151.5,87.8,73.9,77.8,95.0,7.1,7.9,2,Yes,65.9,79.3,25435.0,Low,525.06,3.33,17.0,2,8,4,14.5,64.1,94.6
FAO-301,CUST003,India,20254,SR003,2,274.17,142,Splint,Fixed,B,36.0,1.65,Monopoly,Asia,539.29,9767.23,-0.9448,269.64619500000000,0.007042253521126760,80,70,15.28,293.36190000000000,196.6,75.7,65.5,71.6,65.2,7.73,2.8,3,No,89.3,89.1,40818.0,High,225.12,9.07,16.0,0,19,4,39.7,32.1,70.0
FAO-302,CUST003,Brazil,20253,SR003,36,495.08,50,Brace,Open,A,,18.71,Oligopoly,LATAM,14488.22,,,402.45053200000000,0.02,80,70,16.85,475.2768,66.2,76.9,85.8,91.8,88.8,3.79,7.4,2,No,93.6,64.1,42851.0,Medium,496.74,4.94,13.5,1,46,3,10.2,31.4,63.4
FAO-302,CUST003,Germany,20253,SR003,33,198.38,71,Brace,Open,C,36.0,0.32,Monopoly,Europe,6525.59,14488.22,-0.5496,197.745184,0.014084507042253500,80,70,5.93,212.2666,137.8,75.3,72.6,73.6,64.0,2.79,6.2,8,Yes,61.4,72.6,37950.0,High,338.11,5.18,9.9,1,5,0,28.2,58.3,92.8
FAO-302,CUST003,France,20254,SR001,16,130.32,58,Brace,Volume-Based,A,33.0,4.15,Monopoly,Europe,1998.59,6525.59,-0.6937,124.91172,0.017241379310344800,80,70,17.15,118.5912,55.7,58.0,83.5,79.1,84.9,9.33,2.5,2,No,62.7,85.5,37687.0,Medium,401.77,17.51,19.3,2,56,0,8.8,66.2,90.9
Ponseti-201,CUST003,Brazil,20251,SR004,17,674.39,53,Splint,Fixed,C,,27.8,Highly Competitive,LATAM,8277.46,,,486.90958000000000,0.018867924528301900,80,70,8.41,687.8778,121.8,66.7,69.5,86.0,74.2,6.48,3.4,2,Yes,91.0,88.0,30250.0,Low,902.08,10.3,17.7,0,27,1,97.1,87.3,71.8
Ponseti-201,CUST003,Brazil,20251,SR001,36,528.41,125,Brace,Volume-Based,B,17.0,15.04,Highly Competitive,LATAM,16161.74,8277.46,0.9525,448.937136,0.008,80,70,6.3,501.98950000000000,103.5,80.0,62.8,86.9,91.6,3.23,5.5,1,Yes,88.5,78.0,31533.0,High,548.84,14.59,13.2,2,41,3,39.5,49.5,63.6
Ponseti-201,CUST003,Brazil,20252,SR001,18,786.83,60,Splint,Open,C,36.0,23.75,Monopoly,LATAM,10799.24,16161.74,-0.3318,599.957875,0.016666666666666700,80,70,23.98,723.8836000000000,195.0,54.1,94.7,88.0,69.3,8.35,4.8,7,No,81.6,64.3,39705.0,High,419.04,0.71,8.1,2,13,2,90.1,73.5,68.3
AFO-101,CUST004,India,20251,SR004,25,291.88,69,Orthosis,Volume-Based,B,,25.16,Monopoly,Asia,5461.07,,,218.44299200000000,0.014492753623188400,80,70,24.31,268.5296,129.5,61.1,65.5,75.0,85.6,9.32,8.0,2,Yes,93.1,87.0,19892.0,Medium,671.47,7.3,12.7,1,32,3,97.1,28.2,90.8
AFO-101,CUST004,Brazil,20254,SR003,47,589.72,141,Brace,Volume-Based,A,25.0,22.93,Highly Competitive,LATAM,21361.37,5461.07,2.9116,454.497204,0.0070921985815602800,80,70,21.17,613.3088,82.9,61.1,94.6,81.4,69.4,3.36,7.6,5,Yes,82.6,65.2,19261.0,Medium,313.69,9.58,11.9,0,31,1,91.0,82.3,98.6
AFO-102,CUST004,USA,20253,SR003,17,790.59,67,Brace,Fixed,B,,24.85,Highly Competitive,North America,10100.18,,,594.128385,0.014925373134328400,80,70,11.09,766.8723,40.5,67.3,94.2,88.5,88.5,8.54,6.2,5,Yes,67.6,70.6,47997.0,Medium,407.51,3.73,8.5,2,41,1,45.5,64.3,70.4
FAO-302,CUST004,India,20252,SR004,12,246.62,131,Splint,Open,C,,12.84,Monopoly,Asia,2579.45,,,214.95399200000000,0.007633587786259540,80,70,6.95,256.4848,47.2,89.2,87.8,99.1,94.9,9.47,8.4,3,Yes,85.5,71.3,11108.0,Low,637.0,2.4,6.8,1,46,1,77.9,64.0,92.7
FAO-302,CUST004,USA,20253,SR004,37,321.2,131,Splint,Volume-Based,C,12.0,27.64,Highly Competitive,North America,8599.55,2579.45,2.3339,232.42032,0.007633587786259540,80,70,18.68,292.292,60.6,52.7,83.1,91.8,65.1,9.51,6.1,3,No,82.6,73.4,15579.0,Medium,390.02,17.41,8.7,2,37,0,15.4,30.0,69.1
Ponseti-201,CUST004,Brazil,20251,SR001,25,323.39,136,Orthosis,Fixed,C,,27.61,Highly Competitive,LATAM,5852.55,,,234.10202100000000,0.007352941176470590,80,70,13.8,310.45440000000000,65.2,70.7,80.2,97.7,94.7,9.31,9.7,3,Yes,94.5,83.7,32813.0,Low,743.3,18.79,11.9,2,2,2,9.5,22.8,87.2
Ponseti-201,CUST004,Brazil,20251,SR002,29,629.73,160,Splint,Volume-Based,C,25.0,22.86,Monopoly,LATAM,14087.44,5852.55,1.4071,485.773722,0.00625,80,70,7.44,636.0273,173.1,57.2,90.3,92.9,83.7,6.37,3.0,6,Yes,67.5,84.1,39513.0,Medium,593.19,1.58,9.1,0,7,1,87.7,69.1,63.3
AFO-101,CUST005,Brazil,20253,SR004,15,391.1,99,Brace,Fixed,A,,24.98,Monopoly,LATAM,4401.05,,,293.40322000000000,0.010101010101010100,80,70,14.9,414.56600000000000,121.0,88.8,70.1,87.8,65.1,4.85,7.4,4,No,80.9,81.6,31516.0,Medium,817.59,6.98,6.0,0,48,4,3.1,28.2,83.4
AFO-102,CUST005,USA,20252,SR001,45,166.95,134,Splint,Fixed,A,,19.49,Oligopoly,North America,6048.52,,,134.411445,0.007462686567164180,80,70,5.69,160.272,114.2,54.5,76.4,75.8,77.1,2.06,4.3,3,Yes,87.3,60.7,24203.0,Low,958.6,19.17,15.5,0,11,0,97.2,28.9,70.8
AFO-102,CUST005,USA,20253,SR002,20,381.26,17,Splint,Volume-Based,B,45.0,16.65,Monopoly,North America,6355.6,6048.52,0.0508,317.78021,0.058823529411764700,80,70,23.19,392.6978,40.7,66.1,81.7,90.0,66.4,2.49,3.5,2,Yes,71.9,76.9,49119.0,Medium,292.64,1.66,11.1,2,11,2,67.2,33.1,97.0
FAO-301,CUST005,Germany,20252,SR003,19,545.23,140,Brace,Open,C,,7.25,Highly Competitive,Europe,9608.32,,,505.700825,0.007142857142857140,80,70,10.18,588.8484000000000,174.8,79.5,74.4,88.7,88.0,5.43,2.6,3,No,73.3,82.4,38154.0,Low,467.73,12.87,2.3,0,23,4,42.0,26.8,71.6
FAO-302,CUST005,Germany,20251,SR003,35,766.69,56,Brace,Open,C,,17.77,Monopoly,Europe,22065.72,,,630.449187,0.017857142857142900,80,70,18.25,782.0238,150.1,78.2,75.0,88.1,90.4,5.19,6.0,4,No,91.1,73.3,43256.0,Low,455.64,19.44,8.0,1,31,2,14.1,63.8,75.9
FAO-302,CUST005,France,20252,SR001,9,124.65,51,Orthosis,Fixed,A,35.0,23.02,Monopoly,Europe,863.6,22065.72,-0.9609,95.95557000000000,0.0196078431372549,80,70,11.23,118.4175,32.2,66.9,71.6,84.7,64.2,3.48,2.9,6,Yes,74.1,88.3,11610.0,Medium,320.95,19.56,17.8,2,44,2,72.3,49.5,93.6
FAO-302,CUST005,USA,20253,SR001,7,387.5,19,Brace,Open,C,9.0,29.69,Monopoly,North America,1907.16,863.6,1.2084,272.45125,0.05263157894736840,80,70,15.4,348.75,147.4,63.9,79.7,85.9,80.2,5.16,2.8,4,Yes,81.9,84.7,19437.0,Medium,848.24,9.42,15.3,0,45,4,56.3,38.6,77.5
FAO-302,CUST005,India,20254,SR004,24,398.16,70,Orthosis,Fixed,B,7.0,22.02,Oligopoly,Asia,7451.64,1907.16,2.9072,310.48516800000000,0.014285714285714300,80,70,15.93,426.03120000000000,117.8,65.9,89.8,80.0,92.6,3.4,9.9,8,No,91.1,79.1,24967.0,High,807.9,3.25,7.1,2,8,3,71.1,50.9,69.5
FAO-302,CUST005,India,20254,SR003,47,656.54,66,Orthosis,Open,C,24.0,19.68,Oligopoly,Asia,24784.65,7451.64,2.3261,527.332928,0.015151515151515200,80,70,8.7,590.886,34.7,60.6,67.1,85.6,97.4,8.79,8.2,3,Yes,67.3,61.9,17304.0,Medium,587.54,4.04,18.8,2,56,2,41.8,79.1,81.9
Ponseti-201,CUST005,France,20251,SR001,19,641.23,94,Brace,Volume-Based,C,,14.81,Highly Competitive,Europe,10379.01,,,546.263837,0.010638297872340400,80,70,24.39,686.1161000000000,102.5,58.2,92.7,75.9,80.5,4.39,7.7,3,Yes,94.4,79.6,12916.0,High,630.22,17.79,2.5,1,32,3,6.6,84.9,93.6
AFO-101,CUST006,Germany,20251,SR003,32,691.97,175,Orthosis,Open,A,,8.27,Oligopoly,Europe,20311.81,,,634.744081,0.005714285714285710,80,70,20.5,698.8897000000000,107.2,69.3,84.1,94.2,98.0,6.79,8.1,3,Yes,84.6,87.3,19004.0,Medium,247.64,18.23,19.3,1,48,2,31.5,54.1,77.3
AFO-101,CUST006,Brazil,20253,SR003,32,605.95,34,Splint,Fixed,C,32.0,25.23,Monopoly,LATAM,14498.2,20311.81,-0.2862,453.06881500000000,0.029411764705882400,80,70,23.79,660.4855000000000,49.8,60.7,88.8,75.6,81.4,6.02,9.7,8,No,77.4,71.4,31345.0,Low,644.41,12.16,5.7,1,21,4,31.5,59.7,65.3
AFO-101,CUST006,Germany,20254,SR004,35,573.65,18,Splint,Fixed,A,32.0,11.26,Oligopoly,Europe,17817.0,14498.2,0.2289,509.05701000000000,0.05555555555555560,80,70,22.9,608.069,190.2,61.5,79.5,72.5,75.8,2.42,6.2,4,Yes,75.1,85.1,37830.0,Low,833.07,15.32,1.2,2,31,2,0.9,38.0,75.3
AFO-102,CUST006,France,20253,SR002,37,269.29,115,Orthosis,Open,C,,11.26,Monopoly,Europe,8841.81,,,238.967946,0.008695652173913040,80,70,16.96,296.21900000000000,173.0,76.3,87.3,83.1,93.9,9.54,3.0,1,No,93.4,69.4,40961.0,High,659.06,14.8,9.2,2,1,1,1.0,56.0,98.2
FAO-301,CUST006,USA,20252,SR004,32,679.37,81,Brace,Volume-Based,A,,17.47,Oligopoly,North America,17941.89,,,560.684061,0.012345679012345700,80,70,23.44,658.9889,140.4,88.7,60.6,89.7,79.7,6.22,8.8,2,No,67.2,77.1,11717.0,Medium,412.25,13.24,7.8,1,13,1,33.1,72.4,62.9
FAO-302,CUST006,France,20251,SR001,19,218.65,73,Splint,Fixed,A,,11.18,Oligopoly,Europe,3689.89,,,194.20493,0.0136986301369863,80,70,6.77,229.5825,103.2,74.1,88.6,83.1,78.9,4.6,7.7,2,No,70.9,79.5,27119.0,High,734.04,16.55,11.2,2,11,2,72.8,54.4,76.3
FAO-302,CUST006,Germany,20251,SR004,47,760.95,80,Splint,Fixed,B,19.0,12.65,Oligopoly,Europe,31240.42,3689.89,7.4665,664.689825,0.0125,80,70,8.92,745.731,94.1,53.1,61.4,78.3,79.6,3.27,4.7,3,No,70.8,80.3,14888.0,Medium,489.19,13.71,16.1,1,29,4,62.4,41.1,85.9
FAO-302,CUST006,India,20254,SR004,43,316.59,45,Orthosis,Fixed,A,47.0,4.78,Monopoly,Asia,12962.65,31240.42,-0.5851,301.456998,0.022222222222222200,80,70,5.9,316.59,137.2,53.0,91.1,86.7,93.9,4.71,5.3,6,Yes,70.1,86.5,27248.0,Medium,635.9,10.68,17.0,1,4,4,23.9,60.7,63.1
Ponseti-201,CUST006,India,20253,SR003,42,387.84,117,Brace,Fixed,A,,18.44,Oligopoly,Asia,13285.54,,,316.322304,0.008547008547008550,80,70,11.51,399.4752,118.2,88.1,94.7,80.4,93.3,2.16,4.7,8,No,76.4,67.0,27359.0,Low,590.05,4.74,8.6,0,36,0,60.3,86.3,73.8
Ponseti-201,CUST006,India,20253,SR004,40,698.89,55,Splint,Fixed,C,42.0,8.71,Monopoly,Asia,25520.67,13285.54,0.9209,638.0166810000000,0.01818181818181820,80,70,12.77,747.8123,31.2,61.9,70.3,98.0,76.1,4.91,9.4,1,Yes,94.6,67.9,29928.0,High,504.94,14.88,9.2,1,15,4,64.7,82.2,97.6
AFO-101,CUST007,Brazil,20251,SR001,30,110.2,71,Splint,Volume-Based,A,,10.91,Monopoly,LATAM,2945.32,,,98.17718,0.014084507042253500,80,70,10.43,121.22000000000000,112.3,53.7,67.4,97.7,73.3,6.25,4.1,9,No,91.1,81.1,45713.0,Low,775.1,9.47,3.8,0,59,3,52.3,73.8,61.2
AFO-101,CUST007,India,20251,SR002,23,512.76,95,Brace,Open,C,30.0,24.07,Highly Competitive,Asia,8954.79,2945.32,2.0403,389.338668,0.010526315789473700,80,70,21.57,538.398,165.2,74.0,86.8,85.1,79.7,8.97,9.7,1,No,71.5,65.3,42204.0,Low,907.1,5.9,1.9,1,3,2,52.1,39.3,90.1
AFO-101,CUST007,USA,20253,SR004,30,695.98,176,Orthosis,Volume-Based,A,23.0,8.25,Oligopoly,North America,19156.85,8954.79,1.1393,638.56165,0.005681818181818180,80,70,12.14,682.0604,102.7,74.9,68.9,79.8,82.9,7.5,9.2,2,Yes,74.8,73.9,35469.0,Low,204.17,16.04,13.2,2,56,1,37.0,36.9,93.7
AFO-102,CUST007,France,20251,SR004,13,706.4,33,Orthosis,Volume-Based,B,,26.16,Highly Competitive,Europe,6780.87,,,521.6057600000000,0.030303030303030300,80,70,10.62,692.2720000000000,29.4,75.9,90.3,92.1,69.5,2.89,6.7,3,No,83.4,60.6,45416.0,High,946.89,13.93,2.2,0,51,4,12.3,78.7,71.1
AFO-102,CUST007,India,20252,SR002,20,782.63,104,Brace,Fixed,B,13.0,3.41,Highly Competitive,Asia,15118.85,6780.87,1.2296,755.942317,0.009615384615384620,80,70,15.85,821.7615000000000,161.5,60.7,63.6,71.1,91.8,3.18,6.2,7,No,60.6,64.2,37139.0,Medium,609.21,18.75,14.9,2,29,1,38.5,32.7,68.6
AFO-102,CUST007,France,20254,SR001,18,224.13,80,Orthosis,Volume-Based,A,20.0,1.04,Monopoly,Europe,3992.38,15118.85,-0.7359,221.799048,0.0125,80,70,7.82,212.9235,56.2,50.6,64.4,84.2,79.5,5.42,4.3,9,Yes,88.7,80.4,42754.0,Medium,760.59,3.31,11.2,2,21,0,34.5,62.4,96.6
FAO-301,CUST007,Brazil,20253,SR001,41,714.22,107,Splint,Fixed,A,,22.97,Oligopoly,LATAM,22556.71,,,550.163666,0.009345794392523360,80,70,21.04,657.0824,66.6,88.6,94.3,80.1,73.4,3.57,1.2,3,No,90.8,82.4,32551.0,High,884.5,12.98,4.8,1,2,2,59.2,50.7,90.6
FAO-302,CUST007,France,20251,SR004,15,699.2,111,Splint,Volume-Based,A,,7.32,Monopoly,Europe,9720.28,,,648.01856,0.009009009009009010,80,70,6.49,678.224,49.6,60.0,83.6,97.6,64.3,2.22,2.1,8,No,90.0,63.5,31009.0,Medium,573.68,4.88,11.3,1,6,4,85.6,52.8,64.5
FAO-302,CUST007,Brazil,20252,SR003,43,235.99,83,Orthosis,Fixed,B,15.0,0.88,Monopoly,LATAM,10058.27,9720.28,0.0348,233.913288,0.012048192771084300,80,70,24.74,226.5504,79.4,77.0,89.6,70.4,69.6,8.44,7.8,9,No,73.1,66.8,38964.0,High,867.98,18.07,4.5,2,31,1,37.5,51.8,68.5
Ponseti-201,CUST007,India,20251,SR004,33,428.66,76,Splint,Fixed,A,,21.49,Oligopoly,Asia,11105.85,,,336.540966,0.013157894736842100,80,70,20.44,411.5136,156.2,78.3,71.4,86.6,98.0,2.16,5.2,7,Yes,76.2,63.0,10788.0,High,342.1,1.99,9.3,1,54,4,71.0,83.0,84.9
AFO-101,CUST008,India,20252,SR002,19,480.78,73,Splint,Volume-Based,C,,23.78,Monopoly,Asia,6962.56,,,366.450516,0.0136986301369863,80,70,8.97,456.74100000000000,113.5,74.4,83.7,92.2,72.2,8.65,2.3,4,No,60.4,73.0,37615.0,Medium,327.33,13.12,16.2,1,24,0,81.2,26.1,76.8
AFO-101,CUST008,USA,20252,SR002,6,661.43,113,Orthosis,Volume-Based,C,19.0,27.01,Oligopoly,North America,2896.67,6962.56,-0.584,482.77775700000000,0.008849557522123890,80,70,5.11,601.9013,56.9,62.5,80.8,84.6,66.8,3.15,3.4,4,Yes,74.0,63.8,47381.0,Low,725.98,15.82,9.8,1,40,1,21.2,74.8,80.2
